id,entri,induk_entri,jenis
59872,jongkat-jangkit,jangkit (2),turunan
60872,jungkat-jungkit,jungkat,turunan
62072,karut-marut,karut,turunan
62455,kawin-mawin,kawin (1),turunan
62582,kebat-kebit,kebat (2),turunan
46924,ke belakang,belakang,turunan
77439,keberagaman,ragam (1),turunan
57391,keberhati-hatian,hati,turunan
67358,keberlarut-larutan,larut (1),turunan
50467,kecentang-perenangan,centang perenang,turunan
62654,kecil-mengecilkan,kecil,turunan
62666,kecomak-kecimik,kecimik,turunan
51557,kedalaman,dalam-dalam,turunan
62726,kedekak-kedekik,kedekik (3),turunan
52458,ke depan,depan,turunan
56587,kegunungapian,gunung,turunan
68603,kelihatannya,lihat,turunan
63294,kemak-kemik,kemik (2),turunan
74710,kemelesetan,peleset,turunan
86707,kemenarikan,tarik,turunan
63306,kempas-kempis,kempis (1),turunan
71691,ke muka,muka,turunan
63390,kencang-kencung,kencang (2),turunan
63397,kencing-mengencingi,kencing,turunan
63455,kentungan,kentung-kentung,turunan
63470,kenyat-kenyit,kenyat,turunan
74788,kepemelukan,peluk (1),turunan
75841,kepemimpinan,pimpin,turunan
85438,kepenajaan,taja,turunan
61966,kepengarangan,karang (2),turunan
62694,kepengecutan,kecut (1),turunan
89230,kepenontonan,tonton,turunan
89752,kepenulisan,tulis,turunan
63996,kerang-kerot,kerot,turunan
63682,kerang-keruk,kerang,turunan
66953,keras,langit,turunan
63721,keras-mengerasi,keras (1),turunan
63975,kerobat-kerabit,kerobat,turunan
81759,kesemaran,semara,turunan
81874,kesemena-menaan,semena,turunan
91803,kesewenang-wenangan,wenang,turunan
83555,ke sini,sini,turunan
83683,ke sisi,sisi,turunan
84657,ke sungai,sungai,turunan
86024,ke tanah,tanah (1),turunan
64227,ketap-ketip,ketip (3),turunan
87897,ke tengah,tengah (1),turunan
88074,ke tepi,tepi,turunan
78604,keterepasan,repas,turunan
55959,ketergesa-gesaan,gesa,turunan
42187,keterpelajaran,ajar,turunan
82311,ketidaksenonohan,senonoh,turunan
91325,keusahawanan,usaha,turunan
65534,kuas-kais,kuas (3),turunan
66668,lama-kelamaan,lama,turunan
67110,lantung-lantang,lantung (2),turunan
67374,laserasi,laser,turunan
67430,lauk-pauk,lauk,turunan
66566,lelaki,laki,turunan
66577,lelakon,lakon,turunan
66954,lelangit,langit,turunan
68578,lembut,lidah (1),turunan
68151,lenggak-lenggok,lenggok,turunan
68248,lentang-lentok,lentok,turunan
68236,lentang-lentung,lentang (2),turunan
68409,letah-letai,letai,turunan
68500,liang-liuk,liang (2),turunan
68501,liang-liut,liang (2),turunan
68936,liat-liut,liut (2),turunan
67108,lontang-lantung,lantung (1),turunan
69080,lopak-lapik,lopak (3),turunan
69431,maaf-memaafkan,maaf,turunan
70661,mau(pun) ... mau(pun),mau,turunan
42183,membelajarkan,ajar,turunan
76389,memontang-mantingkan,pontang-panting,turunan
76403,memorak-perandakan,porak-peranda,turunan
42179,mempelajari,ajar,turunan
51554,memperdalam,dalam-dalam,turunan
90969,memperundungkan,undung-undung (1),turunan
51548,mendalam,dalam-dalam,turunan
51549,mendalami,dalam-dalam,turunan
51550,mendalamkan,dalam-dalam,turunan
43039,mengambungambungkan,ambung (1),turunan
61571,mengamitkan,kamit-kamit,turunan
62129,mengasihani,kasih (1),turunan
46925,mengebelakangkan,belakang,turunan
49071,mengebumikan,bumi,turunan
52459,mengedepan,depan,turunan
52460,mengedepankan,depan,turunan
53810,mengempat puluh hari,empat,turunan
76563,mengemprit,prit,turunan
71692,mengemuka,muka,turunan
71693,mengemukakan,muka,turunan
80336,mengesampingkan,samping (1),turunan
83556,mengesinikan,sini,turunan
83684,mengesisikan,sisi,turunan
85378,mengetahui,tahu (1),turunan
86025,mengetanahkan,tanah (1),turunan
87898,mengetengahi,tengah (1),turunan
87899,mengetengahkan,tengah (1),turunan
88075,mengetepikan,tepi,turunan
55379,menggeliang-geliutkan,geliang,turunan
57807,menghitam-memutihkan,hitam putih,turunan
64781,mengocar-ngacirkan,kocar-kacir,turunan
65378,mengotak-ngatikkan,kotak-katik,turunan
65624,mengucar-ngacirkan,kucar-kacir,turunan
66211,mengutak-ngatikkan,kutak,turunan
88573,menikung,tikungan,turunan
44079,menyearahkan,arah (1),turunan
45014,menyebadani,badan,turunan
46901,menyebelah,belah (1),turunan
46903,menyebelahi,belah (1),turunan
46904,menyebelahkan,belah (1),turunan
52497,menyederajatkan,derajat (1),turunan
53235,menyedua,dua (1),turunan
53236,menyeduai,dua (1),turunan
53237,menyeduakan,dua (1),turunan
58743,menyeimbangkan,imbang (1),turunan
59532,menyejajarkan,jajar (1),turunan
81437,menyelang-nyelingkan,selang-seling,turunan
67272,menyelaraskan,laras (1),turunan
71689,menyemukakan,muka,turunan
73213,menyepadan,padan (1),turunan
77443,menyeragamkan,ragam (1),turunan
77781,menyerangkaikan,rangkai,turunan
77994,menyeratakan,rata (1),turunan
78017,menyeratus,ratus (1),turunan
78440,menyerempak,rempak (1),turunan
78544,menyerentakkan,rentak (1),turunan
78747,menyeribu,ribu,turunan
79328,menyerumahkan,rumah,turunan
79479,menyerupa,rupa,turunan
79480,menyerupai,rupa,turunan
79481,menyerupakan,rupa,turunan
84190,menyesuaikan,suai (1),turunan
86588,menyetarafkan,taraf,turunan
86579,menyetarakan,tara (1),turunan
88687,menyetimbangkan,timbang (1),turunan
89473,menyetubuhi,tubuh,turunan
89547,menyetujui,tuju (1),turunan
89548,menyetujukan,tuju (1),turunan
78422,meremeh-temehkan,remeh,turunan
78518,merenggang gawai,renggang (2),turunan
73242,napinadar,padar,turunan
49292,ngabuburit,burit (2),turunan
72828,olang-alingan,olang-aling (1),turunan
68579,panjang,lidah (1),turunan
51555,pedalaman,dalam-dalam,turunan
74647,pekik-pekuk,pekik,turunan
42178,pelajar,ajar,turunan
42182,pelajaran,ajar,turunan
42184,pembelajar,ajar,turunan
42185,pembelajaran,ajar,turunan
42180,pemelajar,ajar,turunan
42181,pemelajaran,ajar,turunan
49916,pemercantik,cantik (1),turunan
50484,pemercepat,cepat,turunan
50991,pemercontoh,contoh,turunan
50992,pemercontohan,contoh,turunan
57395,pemerhati,hati,turunan
57396,pemerhatian,hati,turunan
72832,pemerolehan,oleh,turunan
73984,pemerpanjangan,panjang,turunan
80832,pemersatu,satu,turunan
80833,pemersatuan,satu,turunan
85305,pemertahanan,tahan (1),turunan
51551,pendalaman,dalam-dalam,turunan
86924,penertawaan,tawa,turunan
52461,pengedepanan,depan,turunan
71694,pengemuka,muka,turunan
71695,pengemukaan,muka,turunan
85379,pengetahuan,tahu (1),turunan
86026,pengetanahan,tanah (1),turunan
89975,penunggangang,tunggang (3),turunan
44080,penyearah,arah (1),turunan
58745,penyeimbangan,imbang (1),turunan
59533,penyejajaran,jajar (1),turunan
67273,penyelarasan,laras (1),turunan
77444,penyeragaman,ragam (1),turunan
84191,penyesuaian,suai (1),turunan
86580,penyetara,tara (1),turunan
86581,penyetaraan,tara (1),turunan
84996,penyusur bayar,susur (3),turunan
75347,pernak-pernik,pernik,turunan
75657,piat-piut,piat (2),turunan
76276,polang-paling,polang,turunan
76517,premanisme,preman (1),turunan
76518,premanisme,preman (2),turunan
77984,purata,rata (1),turunan
78196,redep-redup,redup,turunan
78397,rembah-rembih,rembah (1),turunan
78420,remeh-cemeh,remeh,turunan
78419,remeh-temeh,remeh,turunan
77696,reramuan,ramu,turunan
77763,rerangka,rangka (1),turunan
77882,reranting,ranting,turunan
78774,rerimbun,rimbun,turunan
79208,reruku,ruku (1),turunan
79381,rerumputan,rumput,turunan
79448,reruntuhan,runtuh,turunan
78995,rompang-romping,rompang (2),turunan
80774,sasarannya,sasar (4),turunan
80983,sayur-mayur,sayur,turunan
42242,seakal budi,akal,turunan
46748,seberapa,beberapa,turunan
81142,segan-menyegani,segan,turunan
46980,selar-belar,belar,turunan
81680,seluk-semeluk,seluk (2),turunan
69850,semaksimal mungkin,maksimal,turunan
83352,semilir,silir (1),turunan
82155,senggang-tenggang,senggang,turunan
73361,sepemagutan,pagut (2),turunan
73491,sepemakai,pakai,turunan
73694,sepemanah,panah,turunan
73810,sepemandangan,pandang,turunan
73863,sepemanggil,panggil,turunan
74786,sepemeluk,peluk (1),turunan
74787,sepemelukan,peluk (1),turunan
86037,sepenanak,tanak,turunan
86356,sepenanggungan,tanggung (1),turunan
86414,sepenangkap,tangkap,turunan
88800,sepeninggal,tinggal,turunan
78020,seperseratus,ratus (1),turunan
77449,seragam sebahu,ragam (2),turunan
82709,serak-serik,serik (2),turunan
82636,serba-serbi,serba (2),turunan
82794,serta-menyertai,serta (2),turunan
82874,sesal-menyesali,sesal,turunan
82186,sesengggukan,sengguk (2),turunan
83271,silakanlah,sila (1),turunan
83350,silir-semilir,silir (1),turunan
83461,sinar-seminar,sinar (1),turunan
83462,sinar-suminar,sinar (1),turunan
75453,sipesan,pesan (2),turunan
85111,tabir-mabir,tabir,turunan
85122,tabrak-tubruk,tabrak,turunan
85697,tali-temali,tali (1),turunan
85722,talun-temalun,talun,turunan
86986,tayum-temayum,tayum,turunan
50635,tecerna,cerna,turunan
55808,tegerbang-gerbang,gerbang (1),turunan
63935,tekerjakan,kerja,turunan
63954,tekerlap,kerlap (2),turunan
64006,tekersik,kersik (2),turunan
67023,telanjuk,lanjuk,turunan
68254,telentung,lentung (2),turunan
85696,temali,tali (1),turunan
48649,teperbuat,buat (1),turunan
75159,tepercaya,percaya,turunan
75169,tepercik,percik,turunan
75173,tepercit,percit,turunan
75174,tepercul,percul,turunan
52027,teperdaya,daya (1),turunan
75210,tepergok,pergok,turunan
57398,teperhatikan,hati,turunan
75328,teperling,perling (2),turunan
75337,teperlus,perlus,turunan
75341,tepermanai,permana,turunan
75375,tepersil,persil (1),turunan
66912,terbelangah,langah,turunan
51017,tercoreng-moreng,coreng,turunan
42186,terpelajar,ajar,turunan
80642,tersara bara,sara,turunan
86940,tertawak,tawak-tawak,turunan
82648,teserbu,serbu,turunan
82689,tesergam,sergam,turunan
82694,tesergap,sergap,turunan
82746,teserlah,serlah,turunan
82747,teserling,serling,turunan
85138,tetabuhan,tabuh,turunan
85939,tetamu,tamu,turunan
88921,tetirah,tirah,turunan
89372,tetua,tua,turunan
89443,tetuang,tuang-tuang,turunan
89791,tetumbuhan,tumbuh,turunan
89997,tetunggul,tunggul (2),turunan
85762,tinambah,tambah,turunan
88931,tirai-mirai,tirai,turunan
89970,tunggang-tunggik,tunggang (3),turunan
89959,tunggang-tungging,tunggang (1),turunan
89971,tunggang-tunggit,tunggang (3),turunan
90148,turun-temurun,turun (1),turunan
68580,ular,lidah (1),turunan
90988,unggul-mengungguli,unggul,turunan
91219,urbanisasi,urban,turunan
91324,usahawan,usaha,turunan
91643,wewangian,wangi,turunan
91655,wewara,wara,turunan
91799,wewenang,wenang,turunan
